3,000	6,800
3,200	9,000
3,400	33,600
3,600	377,200
3,800	844,000
4,000	1166,200
4,200	1375,200
4,400	1478,400
4,600	1547,600
4,800	1594,000
5,000	1564,800
5,200	1527,000
5,400	1473,200
5,600	1375,200
5,800	1288,400
6,000	1213,400
6,200	1603,800
6,400	1989,600
6,600	1061,200
6,800	988,000
7,000	2054,000
7,200	3426,600
7,400	966,400
7,600	657,200
7,800	620,800
8,000	561,000
8,200	514,000
8,400	494,200
8,600	459,000
8,800	430,000
9,000	415,000
9,200	384,000
9,400	335,400
9,600	314,800
9,800	283,800
10,000	281,800
10,200	281,800
10,400	262,400
10,600	244,600
10,800	245,600
11,000	242,800
11,200	224,000
11,400	217,400
11,600	211,600
11,800	206,000
12,000	200,400
12,200	198,000
12,400	189,200
12,600	243,800
12,800	437,800
13,000	280,600
13,200	180,200
13,400	178,200
13,600	160,600
13,800	163,000
14,000	155,600
14,200	174,400
14,400	709,400
14,600	853,800
14,800	178,000
15,000	130,400
15,200	118,000
15,400	124,000
15,600	115,200
15,800	107,400
16,000	106,600
16,200	109,600
16,400	102,000
16,600	98,600
16,800	90,400
17,000	87,600
17,200	82,800
17,400	80,800
17,600	83,400
17,800	71,600
18,000	74,600
18,200	62,400
18,400	64,400
18,600	61,400
18,800	57,800
19,000	56,600
19,200	73,800
19,400	73,000
19,600	127,800
19,800	57,000
20,000	49,600
20,200	49,400
20,400	46,800
20,600	43,800
20,800	39,600
21,000	36,600
21,200	38,000
21,400	37,800
21,600	42,600
21,800	43,800
22,000	193,000
