3,000	10,200
3,200	9,000
3,400	8,600
3,600	8,000
3,800	9,600
4,000	24,000
4,200	51,400
4,400	86,000
4,600	120,200
4,800	153,000
5,000	206,600
5,200	232,600
5,400	264,400
5,600	301,000
5,800	328,400
6,000	335,400
6,200	376,000
6,400	382,000
6,600	398,200
6,800	394,800
7,000	384,400
7,200	375,800
7,400	386,400
7,600	372,200
7,800	494,400
8,000	918,000
8,200	424,400
8,400	377,800
8,600	358,600
8,800	382,000
9,000	1045,800
9,200	1976,800
9,400	395,400
9,600	287,200
9,800	261,200
10,000	251,800
10,200	247,600
10,400	235,000
10,600	222,000
10,800	209,200
11,000	199,400
11,200	173,600
11,400	173,000
11,600	148,400
11,800	154,400
12,000	142,200
12,200	138,400
12,400	124,800
12,600	113,800
12,800	107,400
13,000	98,000
13,200	103,600
13,400	97,800
13,600	94,600
13,800	91,600
14,000	90,000
14,200	83,200
14,400	87,600
14,600	85,200
14,800	85,600
15,000	81,200
15,200	75,200
15,400	73,400
15,600	77,400
15,800	69,200
16,000	71,800
16,200	77,800
16,400	75,200
16,600	74,600
16,800	76,200
17,000	88,600
17,200	117,400
17,400	131,800
17,600	74,200
17,800	66,600
18,000	72,000
